,OrderNo,OrderDate,Month,Year,CustomerID,Revenue,Seq,First Touch Channel,Channel_Type
55503,300029493827,2022-07-10,7,12,1160f21222afedbc469e8495d1a54689,20999.0,19,Affiliate,Paid
482542,300038458984,2022-11-22,11,12,a8fa1a15c9373cae1e559b0111c763e7,999.0,23,Paid Search,Paid
774279,300043481593,2023-02-25,2,24,68a0278e637b45c65e1931397dd93de0,26900.0,26,Direct,Organic
712257,TC300047050182,2023-05-19,5,24,0ce939aa1b328dba35ed0a90e5857424,42490.0,29,Organic Search,Organic
709905,300046844637,2023-05-12,5,24,2347ba4aa1764a079c6096ec3875d8c6,9748.0,29,Direct,Organic
859717,300042403709,2023-02-02,2,24,e87063033e3a909168d54f4826c79358,1071.0,26,Internal,Organic
742027,300044472918,2023-03-18,3,24,f351a1fa36e57825fa8a9b81ce03daa3,323.1,27,Affiliate,Paid
430014,300025940680,2022-05-18,5,12,eadf7fcaa818b74ded72b89f14cff21f,1927.0,17,Paid Search,Paid
270832,TC300029212776,2022-07-05,7,12,e79f281593175822ae87985976d85835,26824.07,19,Direct,Organic
274080,TC300029525806,2022-07-11,7,12,b90845f4ec1fa4c3e7919ac59fa614ab,3998.0,19,Direct,Organic
154939,300025582975,2022-04-30,4,12,981db3e5eb95c6984e111be3694934ca,6741.0,16,Paid Search,Paid
779982,TC300047217194,2023-05-08,5,24,44dd9f697aaaeee479bc4a36808b7c04,12499.0,29,Direct,Organic
251048,300028242716,2022-06-24,6,12,7119a8f69439b7adfd203de76c60fe31,43990.0,18,Organic Search,Organic
243013,300029361857,2022-07-08,7,12,d6094567803e613e2b95bff99f5008f0,15499.0,19,Organic Search,Organic
133600,300026345941,2022-05-14,5,12,30a5c9f77db187635cbef96b54d644b4,50030.0,17,Paid Social,Paid
75061,300026884554,2022-05-22,5,12,bbf80bca9a3948b6589a5b38c44bbd79,1940.0,17,Paid Search,Paid
845614,300040009230,2023-01-05,1,24,d539189f3b1a5d7f57bd6b6b1932e263,6900.0,25,Direct,Organic
873097,300042639769,2023-02-08,2,24,023201a572cc6ffda75cd640516383d6,2299.0,26,Direct,Organic
663121,300047887769,2023-05-20,5,24,6befcb2e8a310bf93d976ec1eee976ba,9990.0,29,Paid Search,Paid
441995,300039810257,2022-12-16,12,12,9eb06c492bce912cb726caf958803916,1999.0,24,Organic Search,Organic
449787,300032109936,2022-08-24,8,12,5e610086f3214235f653b15d96c267c7,1319.0,20,Paid Search,Paid
316462,300026086235,2022-05-09,5,12,85d381ea02ff5c596964f41f21b65acc,1376.1,17,Paid Search,Paid
204904,300026668633,2022-05-19,5,12,3618ee451c11496a51befe84ed624349,8490.0,17,Direct,Organic
602064,300023011695,2022-02-23,2,12,e2d693097387f850cda105d7f799bd74,2728.0,14,Direct,Organic
806733,300045682280,2023-05-04,5,24,bf42e5bbe35bf7e569003470845b3a0c,33788.0,29,Organic Search,Organic
389706,300028821907,2022-06-28,6,12,76aef9eef3a35724254727313cde01e1,47001.0,18,Paid Search,Paid
815754,300043783010,2023-03-10,3,24,bac5e6b724d1081f65c845560a32c21e,1799.0,27,Direct,Organic
503993,300033495440,2022-09-19,9,12,2e8da035fb7da8fcc01bc87eb11b7531,167998.0,21,Paid Search,Paid
72084,300039666611,2022-12-25,12,12,e1691bff9cf91da8d7dedaa1f4ec9496,9441.0,24,Paid Search,Paid
477137,300039398932,2022-12-07,12,12,e8da46c17ae9a8758657d5ac8abb97b9,994.0,24,Paid Search,Paid
67356,300036193883,2022-10-19,10,12,3ad007833946e41a40cbadd4f77c1508,1999.0,22,Organic Search,Organic
902369,300043361425,2023-02-22,2,24,a06a522dab45f271b79b1b2c972147f0,2293.0,26,Paid Search,Paid
816569,300044130245,2023-03-10,3,24,64d5cbb321000ecbba0d5d280ef7ed86,2899.0,27,Affiliate,Paid
849503,300041990481,2023-02-17,2,24,e6637eee5082efdd8572b9940b1711d5,1910.7,26,Organic Search,Organic
616497,300021769390,2022-01-13,1,12,8e39ac249dd53f2234ba9ad08bce1a9f,1340.0,13,Organic Search,Organic
313766,300028937887,2022-06-30,6,12,5098ef22c8e14444506be76ff13413c8,759.05,18,Paid Search,Paid
4686,300036757432,2022-10-23,10,12,8b5510dc749e56f6ceded3fcbc8242e2,6990.0,22,Paid Search,Paid
870420,300040865819,2023-01-09,1,24,04c35089eb958cf021e754a6f2032642,1999.0,25,Paid Search,Paid
131270,300034856210,2022-09-30,9,12,d0a9ae9af88f978e761f944d71240b61,479.2,21,Organic Search,Organic
610424,300022543470,2022-02-09,2,12,000bfc185afcad1617acee00c9fdd7f8,2799.0,14,Organic Search,Organic
351629,300040130868,2022-12-27,12,12,fd72d3d496093047c41ea33e37f1aa37,1499.0,24,Direct,Organic
731562,TC300046375878,2023-05-15,5,24,9ceaf414625fb985a1785b2ae2184368,1799.0,29,Direct,Organic
137190,300028722035,2022-06-25,6,12,c601587455aa500afd2bdd740b8e2a1a,26490.0,18,Paid Search,Paid
862890,TC300040853350,2023-01-03,1,24,0ddaf83136eb8d8d1051ea0cfc989ac4,119900.0,25,Affiliate,Paid
262383,300038260120,2022-11-19,11,12,aee619d2c2a38449c7dad615c99b6645,4800.0,23,Paid Search,Paid
378408,300029599367,2022-07-13,7,12,63c745810596b42ebcd7e20d57e17448,239490.0,19,Direct,Organic
1692,300031639074,2022-08-15,8,12,f2ad0085e004b46aa48dd95c032a8bea,6490.0,20,Direct,Organic
752860,300047765476,2023-05-18,5,24,528494e2cc220bedbecdc3dd8fc8bb4b,1699.0,29,Direct,Organic
706129,300046815470,2023-05-01,5,24,60665b23bf9bddccaadd7aff2e94df41,1299.0,29,Direct,Organic
152024,300031275029,2022-08-11,8,12,ea68e71bd2dfa6c4a37be1874dd4205c,53990.0,20,Paid Search,Paid
233255,300025522114,2022-04-29,4,12,970ad11ed567d07145abe0252ca9f18f,33490.0,16,Organic Search,Organic
57156,300029104606,2022-07-03,7,12,2c7dc3516ce6533956f1f5375e4657ad,11799.0,19,Paid Search,Paid
380004,TC300027354568,2022-05-31,5,12,cde3593e77dd31f8f46da12fc1800d32,5098.0,17,Direct,Organic
316704,300026070046,2022-05-09,5,12,75b7104bf5efaf7e77c7fdab7aa799c6,54990.0,17,Organic Search,Organic
75419,300026897886,2022-05-22,5,12,ec9040ffc0b3f146481fd3c7f2add282,499.0,17,Paid Search,Paid
624275,300022335340,2022-02-01,2,12,862976d653900787c2971706c34f7b01,1099.0,14,Paid Search,Paid
450719,300032108536,2022-08-24,8,12,351bb1fe19c253f10921d9b773c15763,590.0,20,Paid Search,Paid
67703,300036325636,2022-10-19,10,12,6dfb523b5a2d806afe00e46c86ad9561,10079.1,22,Organic Search,Organic
253678,300031826453,2022-08-20,8,12,a60962c377b1429c5efd37b11045fa03,294.0,20,Organic Search,Organic
220257,300033385493,2022-09-17,9,12,1abbc4d1b7475ebf9807ae1d23858f1b,9261.0,21,Paid Search,Paid
426313,300023361198,2022-03-06,3,12,469d9bcce53f71e9af45e62a34967431,17999.1,15,Affiliate,Paid
787301,300041917080,2023-01-24,1,24,e3efe5225a783fabf41231897fa2f680,236.7,25,Affiliate,Paid
152307,300031315717,2022-08-11,8,12,bad40f62ca23f14577b1f8d5a44a11d8,18990.0,20,Direct,Organic
263939,300040435446,2022-12-29,12,12,bb164d9eb42f733c528098bc45271d48,199.0,24,Direct,Organic
886674,300042309342,2023-01-31,1,24,bcf4780d34ff68516836fc45723e6096,999.0,25,Direct,Organic
485812,300037668541,2022-11-08,11,12,b47880905052e53505424069bd46666e,2189.0,23,Organic Search,Organic
86217,300031385072,2022-08-12,8,12,cae01da1493b0762a9d928f6e003b29a,3499.0,20,Direct,Organic
637677,300044641031,2023-03-22,3,24,83e4823d919c391f1249eaaa3679d796,59990.0,27,Affiliate,Paid
502744,300037837148,2022-11-11,11,12,960519d7411b8c15050b467cc3c81427,28999.0,23,Direct,Organic
74433,300026876461,2022-05-22,5,12,dc3425e32b994c7edb44d1a4ac2e5043,1699.0,17,Paid Search,Paid
170120,TC300036163258,2022-10-18,10,12,7237c40f8a2ca1996ee2664bdcf33917,24999.0,22,Direct,Organic
214061,300028787858,2022-07-01,7,12,23fa64c2452919a56f1e5f905a7d2d6c,29990.0,19,Paid Search,Paid
802567,300048620136,2023-05-29,5,24,1aa96b556fa3b0531581ff70deff2ac4,26488.0,29,Organic Search,Organic
333424,300031389002,2022-10-07,10,12,67f56e61db85594f0ac7cdf7d1243b47,399.0,22,Organic Search,Organic
94575,300028270275,2022-06-18,6,12,a68e020e59371432afe33f79708d1e61,51990.0,18,Organic Search,Organic
773330,300047397929,2023-05-11,5,24,f63c60e964cf1d3ea2c8407f04a3b280,13490.0,29,Organic Search,Organic
580622,300023066646,2022-02-25,2,12,f025f823deed9c4af46fe510190eaf96,122.55,14,Paid Search,Paid
230039,300037066902,2022-10-28,10,12,07ba364c3475e9715e6dd7ce0ae15eb9,569.0,22,Organic Search,Organic
263535,300040521561,2022-12-29,12,12,e7e4bc74b8262a7ff33863af6b521120,998.0,24,Paid Search,Paid
905757,300042372511,2023-02-01,2,24,cee7c18fd70fc5d5755e319ab014fb14,3328.0,26,Organic Search,Organic
133923,300026333007,2022-05-14,5,12,0f187e1f8c87232ef86c20c6bd844bef,971.19,17,Organic Search,Organic
481624,300038402660,2022-11-22,11,12,b16b8de80d6a3773f77938ea8922c96a,87090.0,23,Paid Search,Paid
359764,TC300032503959,2022-09-02,9,12,e8437a961caaced20b3ae37bc894b689,1999.0,21,Direct,Organic
546754,300023956774,2022-03-24,3,12,2fea919675842f839de921bc67ccfb63,3000.0,15,Paid Search,Paid
260948,TC300038206100,2022-11-19,11,12,c07a75d0a61c4a520f7f834c6c8915dc,41490.0,23,Internal,Organic
188529,300040642484,2022-12-30,12,12,695f96d15d20ab118ea9854aee46c895,22249.0,24,Organic Search,Organic
577071,300022612631,2022-02-11,2,12,759627d189c4ac144509f0450b3f4655,18430.0,14,Organic Search,Organic
78707,300027940373,2022-06-12,6,12,d9765a8720b48e32272962b22d8cab7c,699.0,18,Paid Search,Paid
17798,300035341831,2022-10-05,10,12,376819b04fe05ca981873fa3741ac65c,62990.0,22,Paid Search,Paid
109922,TC300022068159,2022-01-26,1,12,7ea5e6f7b9c10ef32a0ef3f2b92c30cf,1099.0,13,Organic Search,Organic
796913,300045024298,2023-03-30,3,24,a16834a890aa88e2cf30c1b9d164748e,948.0,27,Organic Search,Organic
864267,300042978908,2023-02-15,2,24,c1aa0524bc0bc4769042b753b6ca9513,2690.0,26,Direct,Organic
674205,TC300044208507,2023-03-12,3,24,07e0c58f6bb6c86d2f6919094197ab41,44.0,27,Direct,Organic
462110,300023770946,2022-03-21,3,12,a0cb543423c33122376d573b9a6f61ad,2674.0,15,Affiliate,Paid
328662,300030014437,2022-07-21,7,12,25956a8617b3360d6f020d4b2c05c7f2,1499.0,19,Organic Search,Organic
382243,300024335924,2022-04-01,4,12,14c77e34f488204470832fc18baa6f91,35999.0,16,Organic Search,Organic
380664,300027779474,2022-06-09,6,12,53aff4b3f532781234a5e62251226784,35991.0,18,Paid Search,Paid
799204,300042944519,2023-02-14,2,24,9bdc146feb0305baa6c1e2edd114d3ca,1599.0,26,Direct,Organic
655985,300045593421,2023-04-14,4,24,841d4d2e8255a0507ffc33cded2b200e,81900.0,28,Paid Search,Paid
468360,300039095759,2022-11-30,11,12,ab145835b1966c9af03a47a7e0452e83,759.0,23,Paid Search,Paid
833251,TC300045312008,2023-04-05,4,24,aef1140ffde918a3293d9fbed4734e8b,1799.0,28,Direct,Organic
193363,300026738459,2022-05-20,5,12,8a30ccb5c4a9922b07df167a3fb7deb7,13499.0,17,Direct,Organic
497279,300033037452,2022-09-13,9,12,defcd7a20185a23c1acd2e4706f1b2a0,30.0,21,Affiliate,Paid
12285,300031595112,2022-08-14,8,12,a3c1704190142ba637b9d01a99ea3b6f,97490.0,20,Direct,Organic
533978,300023506713,2022-03-22,3,12,4e1cd5fee94bd5ecae7dabc6068b2f03,8539.2,15,Internal,Organic
374435,300028903274,2022-06-29,6,12,3a3492a24c7101c851b77133370dbb9a,1799.0,18,Paid Search,Paid
905734,300042368735,2023-02-01,2,24,3ee31952d8457826a66a68a10b199cbb,1.0,26,Organic Search,Organic
675087,300044221687,2023-03-12,3,24,4dad92003cebf2877c96a6fed1d886af,6291.0,27,Organic Search,Organic
587100,300023447970,2022-03-09,3,12,c34eb22fac977b3823f293ac2b0605ff,1799.0,15,Paid Search,Paid
561907,300022215491,2022-01-27,1,12,1ce43c9a874606cdeaf2377255af0ef6,9449.1,13,Internal,Organic
121409,300026752518,2022-05-29,5,12,78c6887487b5b6d148448b4d3fe6aa5c,728.27,17,Paid Search,Paid
758987,TC300047724204,2023-05-17,5,24,9d793f338762fb74118062ffc9e42e83,30499.0,29,Direct,Organic
502476,300037791660,2022-11-11,11,12,b21b2539dd6053733dd4b779ec46e2af,27994.0,23,Organic Search,Organic
368274,300039224520,2022-12-28,12,12,c07800444e0ebfa8c5b719b6cdba7169,17549.1,24,Organic Search,Organic
338821,300028466434,2022-06-21,6,12,96d50829448477c177a80d699def3deb,21999.0,18,Organic Search,Organic
138467,300028684520,2022-06-25,6,12,85563d537a98040fa02351a38f255894,989.0,18,Direct,Organic
236485,300031973619,2022-09-03,9,12,d59123f0c3e393b572f8df72f3ea903c,647.19,21,Affiliate,Paid
654929,300045788731,2023-04-14,4,24,445f1200f2c7e33c12248068c9939491,6100.0,28,Direct,Organic
803579,300040922688,2023-01-20,1,24,5da31c5cc202f7df0588769a99d0ec6c,998.0,25,Organic Search,Organic
41947,300038924029,2022-11-27,11,12,c77c13f36604051a8a38d02c4f50bbf5,6879.0,23,Loyalty,Unknown
274120,300027813686,2022-07-11,7,12,15eb4f0a3f7f74874a6a3f875e266613,2053.35,19,Organic Search,Organic
636824,300045655956,2023-04-16,4,24,bdff8cf5f04960133e2a45ae0d8332aa,60990.0,28,Organic Search,Organic
600772,300022971138,2022-02-22,2,12,a718b9b4f02ca6352e94592764380f27,840.0,14,Paid Search,Paid
109911,300022022476,2022-01-26,1,12,a4ae3a27e0fe50eaf951a6978503a435,11916.0,13,Direct,Organic
19403,TC300036063286,2022-10-16,10,12,770f077f043b332a85ce31f0356b0d81,79900.0,22,Direct,Organic
443260,300032677374,2022-09-05,9,12,8bea3d7984542fb7be7f667bc4bd731c,7999.0,21,Direct,Organic
803337,300041026265,2023-01-20,1,24,192e53d7cadc00d6b5c5e77f3c0cbbc1,105390.0,25,Paid Search,Paid
903957,TC300043099189,2023-03-08,3,24,084479630d0a3c409110fa4552cac6fa,499.0,27,Direct,Organic
136568,300028231483,2022-06-25,6,12,56c84f98c4e65df4e499038f60ce9100,699.0,18,Affiliate,Paid
381453,300027786708,2022-06-09,6,12,5e6391d0fe89d15683a2c23dfd6a5064,19999.0,18,Organic Search,Organic
65880,300025640252,2022-05-01,5,12,b625c7c55e08d910bf975ea166bf6082,57790.0,17,Paid Search,Paid
558262,300021927268,2022-01-20,1,12,cfbf0d07162664f8831be5124f35426f,15741.0,13,Internal,Organic
29264,300035116246,2022-10-02,10,12,c28abe7384515e217f25d7fa703e482f,24990.0,22,Direct,Organic
118615,300027901357,2022-06-11,6,12,e200421183eae403eeb9749dfdf531df,8999.1,18,Direct,Organic
488282,300038097874,2022-11-17,11,12,1e0dbfeec828e6b85f820b866c7067d0,12990.0,23,Paid Search,Paid
737148,300041826685,2023-01-28,1,24,143b3dcec8badfa9d30130990cb8a34f,1049.0,25,Paid Search,Paid
443849,300032655750,2022-09-05,9,12,54fc43a02459a11a76169d9f8a3d721e,60.0,21,Paid Search,Paid
674216,TC300044159715,2023-03-12,3,24,8a042b8ac92452c5d7f6c17cdafbec23,34990.0,27,Organic Search,Organic
781157,300040286890,2023-01-14,1,24,5fe35579e2c5f1b9502ad06858a57ace,18539.1,25,Direct,Organic
151665,300031332410,2022-08-11,8,12,e0285f1f0f558b4fbd59ac1c27617cdf,1110.0,20,Organic Search,Organic
733408,300046011214,2023-04-18,4,24,050a89fde22227ba72c48676d3c646bf,60990.0,28,Organic Search,Organic
386391,300027035477,2022-05-26,5,12,097113511cc4207efa600676a2871b3e,999.0,17,Paid Search,Paid
133453,TC300026391692,2022-05-14,5,12,ee42984b313e3da59a8bac04c1f0c0a8,65990.0,17,Affiliate,Paid
898679,300043101389,2023-02-21,2,24,98dab09e02ba4353bb45a54526a588ad,384.0,26,Loyalty,Unknown
469016,300032741538,2022-09-08,9,12,5248623e45e9a3500961626c587f80ed,26890.0,21,Paid Social,Paid
300407,300029160906,2022-07-04,7,12,35bdd8bdff43297c0236975f3d24b580,299.0,19,Organic Search,Organic
775268,300043506238,2023-02-25,2,24,0f9f10f00441b181ac9b5fa02979ca02,5499.0,26,Organic Search,Organic
88233,300029385245,2022-07-09,7,12,1bd45b597f1118c227f93e1b4573b77e,18999.0,19,Direct,Organic
867520,300044348880,2023-03-15,3,24,e6f51faad52a67d97b483dcf133ab1ff,40900.0,27,Referral,Paid
307024,TC300023705519,2022-03-26,3,12,e7602a01d6ad227b53e8a25ad4e696e2,7829.1,15,Paid Search,Paid
42819,TC300035648343,2022-11-27,11,12,8d0aa13582b59c7a2d82f0c263deda7c,899.0,23,Direct,Organic
869020,TC300042575193,2023-02-06,2,24,4135a47366fb1e099ab1590b19f2308c,3013.2,26,Internal,Organic
503174,300033490213,2022-09-19,9,12,1db7a7a20642811ff4b59fda5c15e8be,7490.0,21,Paid Search,Paid
134663,300026378020,2022-05-14,5,12,4d01aa54026e5f5c639d1118e09d3d0b,3149.1,17,Paid Search,Paid
412093,300023560408,2022-03-12,3,12,e6fe7036d213b257ad31dc016209a828,14999.0,15,Paid Search,Paid
32176,300031226074,2022-08-13,8,12,7f19690c9f8efcd3326339f8b605bf71,9999.0,20,Direct,Organic
